Date,Close,High,Low,Open,Volume,SMA_20,SMA_50,SMA_200,EMA_12,EMA_26,MACD,MACD_Signal,MACD_Hist,RSI,BB_Mid,BB_Upper,BB_Lower,BB_Width,Daily_Return,Log_Return,Volatility_20d,Volume_MA20,Volume_Ratio,Target
2022-01-26,178.63999938964844,198.0500030517578,177.0,193.60000610351562,7566300,226.47799911499024,262.20159912109375,262.04620056152345,209.26873563157753,229.37099161197656,-20.102255980399036,-16.116130279871896,-3.9861257005271398,18.368044027000778,226.47799911499024,272.93732437554604,180.01867385443444,0.4102767195233555,-0.0376555799671332,-0.03838286740989114,0.58505347821319,5226430.0,1.447699481290288,0
2022-01-27,170.1999969482422,182.75,168.5800018310547,182.02999877929688,5551900,222.35799865722657,258.69839935302736,261.25580055236816,203.25816044952595,224.98795497021845,-21.729794520692508,-17.23886312803602,-4.490931392656488,16.79850029356652,222.35799865722657,273.4473805919587,171.2686167224945,0.4595236712261324,-0.04724587141873515,-0.04839840590639404,0.59185976334041,5330310.0,1.0415716909523085,1
2022-01-28,177.5800018310547,181.75,162.1999969482422,169.10000610351562,6475800,218.3974983215332,255.40759948730468,260.52995056152344,199.30767450822268,221.47625473768778,-22.168580229465107,-18.224806548321837,-3.94377368114327,23.106397777814422,218.3974983215332,270.5185879664503,166.2764086766161,0.4773048230450189,0.04336078152255651,0.04244702370648288,0.6200799010401873,5509720.0,1.1753410336641426,1
2022-01-31,190.14999389648438,192.0,175.02999877929688,177.8699951171875,4060500,215.28649826049804,252.28019958496094,259.77070053100584,197.89880056795525,219.1557909716727,-21.256990403717452,-18.83124331940096,-2.425747084316491,33.71636640654212,215.28649826049804,266.28518239737434,164.28781412362173,0.4737750351177859,0.0707849528990796,0.06839198036050803,0.694817284640735,5594730.0,0.7257722892793754,1
2022-02-01,197.72999572753906,201.4499969482422,188.6199951171875,197.97000122070312,5159000,212.6204978942871,249.76339935302735,259.09435050964356,197.8728305925066,217.56869502766278,-19.69586443515618,-19.004167542552008,-0.691696892604174,30.712889475398626,212.6204978942871,261.26780824288045,163.97318754569375,0.45759755837633614,0.03986327675183188,0.0390892398493451,0.7195987664393616,5685135.0,0.9074542644985564,0
2022-02-02,187.3699951171875,197.0,181.72999572753906,195.80999755859375,3861700,209.48149795532225,246.85979949951172,258.42710044860837,196.25700975014982,215.3317542935535,-19.074744543403682,-19.018282942722344,-0.0564616006813381,28.531251172302234,209.48149795532225,255.98723552484338,162.97576038580112,0.44400806776204904,-0.05239468383252821,-0.05381719657450156,0.7337725928208751,5695590.0,0.6780157981877206,0
2022-02-03,181.30999755859375,189.3000030517578,179.0,182.25999450683594,3417000,206.835498046875,244.17639923095703,257.7740503692627,193.95746941298734,212.81162416503795,-18.85415475205062,-18.985457304588,0.131302552537381,28.637770188058823,206.835498046875,253.43421320877815,160.23678288497183,0.4505872115950089,-0.03234241189366327,-0.032876985578338846,0.713420568133557,5606625.0,0.6094575613671326,1
2022-02-04,194.44000244140625,197.0,177.4499969482422,181.02000427246094,4397900,204.8574981689453,241.72119903564453,257.2790003204346,194.03170526351332,211.4507632966208,-17.41905803310749,-18.672177450291898,1.2531194171844078,35.3115979649573,204.8574981689453,249.93481113378473,159.7801852041059,0.44008457945399987,0.07241743455745886,0.06991538476099794,0.7731667558867698,5564720.0,0.7903182909472534,1
2022-02-07,205.74000549316406,211.11000061035156,198.1999969482422,198.6999969482422,6668300,203.5279983520508,239.58839904785157,256.8497003173828,195.83298222192113,211.02774420006844,-15.194761978147312,-17.976694355862982,2.7819323777156697,43.465682870065194,203.5279983520508,246.72282906389475,160.33316764020682,0.42446082172073524,0.05811562903658696,0.056489617669081886,0.8081103396039919,5732535.0,1.1632375554619379,1
2022-02-08,208.72999572753906,209.25,196.75,200.3699951171875,4639100,202.71399841308593,237.6991989135742,256.3706502532959,197.81713814586234,210.8575406095107,-13.040402463648348,-16.989435977420058,3.9490335137717096,45.68889389466366,202.71399841308593,244.80375551422384,160.62424131194803,0.41526246268763706,0.014532857755145567,0.014428267886548033,0.8044478854655646,5624450.0,0.8248095369325,1
