date,sentiment_avg,article_count
2025-07-18,0.0,1
2025-09-16,-0.2023,1
2025-11-14,0.5849,2
2025-11-15,0.0,1
2025-11-17,0.17110000000000003,2
2026-01-26,0.2023,1
2026-02-09,0.7906,1
2026-02-25,0.6369,1
2026-03-09,0.0,1
2026-03-18,0.0,1
2026-04-15,0.0,1
2026-04-20,0.0,1
2026-05-04,-0.2665,2
2026-05-05,0.2954,4
2026-05-06,0.05,5
2026-05-07,0.2116521739130435,23
