Date,Close,High,Low,Open,Volume,SMA_20,SMA_50,SMA_200,EMA_12,EMA_26,MACD,MACD_Signal,MACD_Hist,RSI,BB_Mid,BB_Upper,BB_Lower,BB_Width,Daily_Return,Log_Return,Volatility_20d,Volume_MA20,Volume_Ratio,Target
2021-10-27,151.13999938964844,161.9199981689453,150.3000030517578,155.85000610351562,9066400,140.8009994506836,114.6427995300293,85.38064987182617,148.98677576515286,137.04638606916964,11.940389695983214,12.575913405550642,-0.635523709567428,62.258253298096925,140.8009994506836,172.38719218933298,109.21480671203423,0.44866432570619114,-0.004741217027586675,-0.004752492250005705,0.9531060163449656,18794895.0,0.48238630755851525,1
2021-10-28,161.88999938964844,162.82000732421875,153.25999450683594,155.4510040283203,7325300,142.93899955749512,116.58699951171874,85.70827487945557,150.97188709199833,138.88665372253843,12.0852333694599,12.477777398332494,-0.3925440288725941,64.02819298711854,142.93899955749512,174.13518238317187,111.74281673181837,0.43649644844657726,0.07112610853124202,0.06871053292899752,0.962694701201949,18487705.0,0.3962254914820417,1
2021-10-29,162.5,165.8000030517578,157.51100158691406,160.0,6404300,145.17149963378907,118.56779953002929,85.94607486724854,152.74544292399858,140.63579048383187,12.109652440166712,12.404152406699339,-0.29449996653262644,70.13044781192973,145.17149963378907,175.17571789820562,115.16728136937252,0.4133623795318704,0.0037679943952768635,0.0037609132865399947,0.958494556872916,18350835.0,0.34899229381115354,0
2021-11-01,152.66000366210938,163.28199768066406,150.77999877929688,163.0,11575400,147.40799980163575,120.32579956054687,86.12437488555908,152.7322984221695,141.52647294148207,11.205825480687423,12.164487021496956,-0.9586615408095334,58.276963434722255,147.40799980163575,171.8827431751736,122.9332564280979,0.33206804795496936,-0.060553823617788494,-0.06246475141080465,0.928345089975192,18385730.0,0.62958609747886,1
2021-11-02,155.88999938964844,156.1999969482422,148.63999938964844,152.75,5483700,149.62949981689454,122.08939956665039,86.34887489318848,153.2180985710124,142.59043786356847,10.627660707443937,11.857121758686354,-1.2294610512424171,56.95156636326587,149.62949981689454,167.55505561270573,131.70394402108334,0.23959922097911382,0.021158100681617942,0.02093737605033128,0.9269904875617376,18269955.0,0.3001485225333067,1
2021-11-03,161.0800018310547,162.5,156.02000427246094,156.9199981689453,7472000,150.99850006103514,123.94039962768555,86.6232249069214,154.42762214948047,143.96003519449337,10.467586954987098,11.579214797946504,-1.1116278429594058,58.6310782693665,150.99850006103514,167.95775815467172,134.03924196739857,0.2246281663298837,0.03329272218696855,0.03275052094129676,0.6394871735093707,15991580.0,0.4672458881486382,1
2021-11-04,168.52000427246094,168.74000549316406,159.33999633789062,160.77000427246094,7957900,152.729500579834,125.85659973144531,86.92097492218018,156.59568093763133,145.7792921632317,10.816388774399627,11.42664959323713,-0.6102608188375029,63.834931421646914,152.729500579834,169.40532618086766,136.05367497880033,0.21837072127813267,0.046188244082648655,0.045153315113042006,0.6510595370971787,14932410.0,0.5329280404167847,0
2021-11-05,164.22999572753906,166.0500030517578,159.64999389648438,163.89999389648438,6641600,153.88150024414062,127.74159957885742,87.14237491607666,157.77019090530945,147.14601094577299,10.624179959536463,11.266155666496998,-0.641975706960535,54.81246432267848,153.88150024414062,170.38320232117226,137.379798167109,0.2144728515234238,-0.025456969120329798,-0.025786604129294795,0.6443036155729176,13582020.0,0.48899942718387984,0
2021-11-08,163.3699951171875,176.64999389648438,161.5,165.6699981689453,8253600,155.29850006103516,129.6509994506836,87.39572490692139,158.63169924559838,148.34778755106294,10.283911694535448,11.069706872104687,-0.7857951775692396,55.60995467617545,155.29850006103516,169.7203327220866,140.87666739998372,0.18573048233412937,-0.005236562337724959,-0.005250321184006824,0.6170461844369797,12442035.0,0.6633641522467989,0
2021-11-09,157.7899932861328,161.19000244140625,154.6199951171875,160.0,8368900,156.15449981689454,130.81499938964845,87.63427486419678,158.5022060210652,149.04721019810515,9.454995822960058,10.746764662275762,-1.2917688393157043,57.3179505909895,156.15449981689454,168.84937015626852,143.45962947752056,0.16259371781485485,-0.03415560995182787,-0.03475254465216243,0.6244788683518171,11642640.0,0.7188146331072678,0
2021-11-10,133.52999877929688,149.0,132.16000366210938,146.92999267578125,22572100,155.52449951171874,131.55879943847657,87.77547485351562,154.6603279838701,147.8977871300453,6.762540853824817,9.949919900585574,-3.187379046760757,37.306480982189605,155.52449951171874,171.21189486937755,139.83710415405994,0.20173535882655913,-0.1537486250021154,-0.16693882994411013,0.831911675010108,11471950.0,1.9675905142543333,1
2021-11-11,151.8300018310547,166.50999450683594,147.5,165.25,34591700,155.69249954223633,132.66579940795899,88.03752487182618,154.22489319112927,148.18906229308303,6.0358308980462425,9.167102100077708,-3.1312712020314653,48.376246484012725,155.69249954223633,171.131801128772,140.25319795570067,0.1983307048435854,0.13704787852207434,0.1284353233999134,0.968579414583756,11995640.0,2.883689407151265,0
2021-11-12,148.99000549316406,149.6699981689453,142.25,148.13999938964844,17047500,155.80550003051758,133.66579956054687,88.28452491760254,153.41952585298077,148.24839141901495,5.171134433965818,8.36790856685533,-3.1967741328895123,44.58811431611956,155.80550003051758,170.99974221333048,140.61125784770468,0.19504115297389127,-0.018705106392943094,-0.018882259485402182,0.9702950614673977,12043040.0,1.4155479015265249,0
2021-11-15,147.99000549316406,150.67999267578125,144.50999450683594,150.6199951171875,6722600,155.34250030517578,134.764599609375,88.4864249420166,152.58421502839357,148.22925172080377,4.354963307589799,7.5653195150022245,-3.210356207412426,47.961229076038634,155.34250030517578,170.91113766204165,139.7738629483099,0.20044272914728095,-0.0067118596089043026,-0.006734485436357211,0.9354942368408421,11202045.0,0.6001225669063104,1
2021-11-16,151.2899932861328,153.75,142.1199951171875,146.8000030517578,9302600,155.13949966430664,135.96019943237306,88.67787490844727,152.3851039911227,148.45597331823555,3.9291306728871405,6.838081746579208,-2.9089510736920676,50.07692784465552,155.13949966430664,170.81324774700258,139.4657515816107,0.20206005713066041,0.022298720660032467,0.022053739347036902,0.9382221054065059,11026450.0,0.8436622847788726,1
2021-11-17,151.72000122070312,159.39999389648438,149.89999389648438,151.67300415039062,7793700,155.34349975585937,137.24379943847657,88.88172492980956,152.2827804879812,148.6977531628628,3.5850273251184035,6.187470862287048,-2.6024435371686447,44.166571995771584,155.34349975585937,170.7094460044775,139.97755350724123,0.1978318535731143,0.0028422761164186294,0.002838244487186611,0.9194387323484218,10893590.0,0.7154390793117787,0
2021-11-18,139.1300048828125,149.1699981689453,138.97999572753906,146.3800048828125,14067200,154.53300018310546,138.18519958496094,89.0335249710083,150.2592765487245,147.98903106804426,2.270245480680245,5.404025785965688,-3.133780305285443,38.21482775803975,154.53300018310546,171.5238500867197,137.5421502794912,0.21989930802458849,-0.08298178378983989,-0.08662794191735165,0.9482708260218012,11121720.0,1.264840330452484,0
2021-11-19,136.16000366210938,139.1300048828125,133.4499969482422,137.88999938964844,10607700,153.58050003051758,138.4343997192383,89.19707500457764,148.0901576430914,147.11280681575278,0.9773508273386255,4.518690794240276,-3.54133996690165,41.05981782712063,153.58050003051758,172.44420056398832,134.71679949704685,0.24565228697292138,-0.021346949733845877,-0.0215780912284128,0.9502221512253232,11156810.0,0.9507825265465666,0
2021-11-22,123.51000213623047,136.07000732421875,118.85800170898438,136.0,14393400,151.75400047302247,138.71859970092774,89.20082500457764,144.3085952574205,145.36445091356595,-1.0558556561454395,3.403781504163133,-4.4596371603085725,34.080631368753075,151.75400047302247,174.631357550082,128.87664339596296,0.3015058187032961,-0.09290541411316922,-0.09750854997476148,0.9892323048947518,11304255.0,1.273272763220575,1
2021-11-23,127.61000061035156,129.6300048828125,120.05000305175781,120.76000213623047,11418500,150.54150047302247,139.1095997619629,89.1838750076294,141.73958069633298,144.04930644666118,-2.309725750328198,2.261080053264867,-4.570805803593065,33.36646406040302,150.54150047302247,175.83781739149128,125.24518355455365,0.33607100818025926,0.033195679728017735,0.0326566007828945,0.9891540322298356,11353305.0,1.0057423807428763,1
2021-11-24,132.75,133.8300018310547,124.77999877929688,126.79000091552734,6564900,149.62200050354005,139.56959976196288,89.1664750289917,140.35656828151252,143.21232078394556,-2.8557525024330346,1.2377135421252867,-4.093466044558321,31.807544928916485,149.62200050354005,176.13440880026803,123.10959220681205,0.35439184354577197,0.04027897002636238,0.039488917593218625,1.0031948542999927,11228230.0,0.584678083722902,1
2021-11-26,136.97999572753906,137.38999938964844,130.5,130.8000030517578,5113200,148.37650032043456,139.95759963989258,89.15142498016357,139.83709558090123,142.7506670760636,-2.9135714951623584,0.40745653466775766,-3.3210280298301162,36.13231336789715,148.37650032043456,174.80257633399407,121.95042430687504,0.3562029830396275,0.031864374595397926,0.031367238457310945,0.9731540447488135,11117625.0,0.4599183728539144,0
2021-11-29,132.14999389648438,140.49000549316406,129.0800018310547,140.0050048828125,7712600,146.8590000152588,140.27499954223632,89.18272495269775,138.65446455252942,141.9654320257244,-3.310967473194978,-0.3362282669047895,-2.9747392062901885,34.729013153878086,146.8590000152588,173.35576533127497,120.36223469924263,0.36084632624848495,-0.035260636455718974,-0.03589730371533231,0.9775469712960975,11183040.0,0.689669356454059,0
