Day,P5,P25,P50,P75,P95
45,311.50573185720805,313.5298073799152,315.07376737196967,316.34880399344627,318.4783632864173
46,311.59957478137693,313.4985295705889,315.1058242734358,316.3249243677809,318.5260876207379
47,311.5896622215114,313.52482125049863,315.0056155904802,316.41459497385307,318.5758191617529
48,311.41594902791485,313.4802681048816,315.02212777721616,316.35220660190294,318.82541540478155
49,311.31052322230914,313.4766453293255,314.98076155214324,316.46396632588625,318.7354053978466
50,311.33524794428786,313.4655449651393,314.98164807862815,316.5418944147898,318.6009258428345
51,311.32580388149853,313.3671602958625,315.0184903596896,316.4937903323548,318.6402844659174
52,311.35316171608355,313.3645936755506,315.07792853481635,316.48762181311554,318.7401197783316
53,311.2024342733936,313.4076986527308,315.1210399491275,316.52226170811207,318.83236203955096
54,311.1800298166864,313.49844000200545,315.09424432859794,316.5212072258478,318.73861658226593
55,311.13737073290804,313.3556144253074,315.04557434455353,316.56380479306915,318.7477532617471
56,311.0692664282475,313.3362273969045,315.01447742165044,316.53420267133924,318.6971184102165
57,311.1374896881032,313.363230926675,315.07713500990906,316.60250171534636,318.7054322735885
58,310.9694537120969,313.28820014491436,314.9975189405544,316.62253046487666,318.75279972798495
59,310.862270790761,313.238201201857,315.0396739710102,316.724625382697,318.72129412623855
60,310.8929959714116,313.2936319947509,315.07494999380515,316.67985648863754,318.7857287994003
61,310.8554908509805,313.35961121070477,315.05650907486086,316.606671087214,318.60510958594534
62,310.86485619388327,313.2822011216149,315.0481264902412,316.63757678536757,318.7011665860676
63,310.79554673856535,313.229140446309,315.0575758481496,316.6643209674567,318.8724798379246
64,310.7843501528911,313.1861499725386,315.00793284160807,316.7671358471779,318.9608616868322
65,310.91078319521137,313.2760140018505,315.08735638879006,316.71502992721616,319.1788895991645
66,310.84800722489445,313.1638681051684,314.99534347364386,316.7423428701095,319.07773609553414
67,310.8134336299132,313.1548669061538,315.02377003733795,316.7338323945965,319.1941149666722
68,310.6959167375899,313.10845851908687,314.9857280262699,316.7493463982467,319.21443333057175
69,310.5569094727643,313.1131446788732,314.9338263120366,316.7332722609258,319.20745909377877
70,310.62830483951035,313.1818420436617,314.9688123277756,316.736026125508,319.28859982304766
71,310.65601457341194,313.16591025903966,314.9097645346431,316.6801458452872,319.24569613434596
72,310.6992108022751,313.058401402069,314.9956086054368,316.70233378331216,319.3980304252585
73,310.4535900316174,312.95304648286384,315.09778319823306,316.66618609195626,319.33379625118664
74,310.5825125141173,313.06009337945204,315.164512330374,316.715106018789,319.33932797165426
75,310.43082093829514,313.1559240103611,315.10326133492845,316.7136667449887,319.26694846628783
76,310.4918200061078,313.08716650131316,315.0143024975777,316.6950330155062,319.32272265059953
77,310.42172314519985,313.11482530378953,315.0618122767269,316.646043596135,319.29431622295476
78,310.31843483845785,313.204136911466,315.00777402897387,316.70140774776274,319.3565242764743
79,310.2328033876077,313.2002014351372,314.97942636361233,316.7578916734859,319.30857079839376
80,310.084397076399,313.13842330432425,315.0570898741681,316.8260692833002,319.2532523648632
81,310.38935629708783,313.20877440694795,315.0771722254123,316.8313988323769,319.3508445918944
82,310.29063469366395,313.2955893290723,315.04599937166347,316.74605098351475,319.5296004384744
83,310.59003713331293,313.1806276571203,315.02515899844525,316.72986991863456,319.68645299683817
84,310.40166887757107,313.12103264975826,314.99607159653976,316.8609556596299,319.7103010911931
85,310.241757371634,313.0614013880055,315.0720871289285,316.81148433793027,319.80842658945284
86,310.134611561255,313.0789151848742,315.0710851277854,316.7841863906017,319.692071067234
87,309.94207936496286,313.0254103291609,315.05677130461356,316.98877992181633,319.63538715383623
88,309.8523136299401,313.12952415767074,315.10832534074984,316.88736469242957,319.68038867534244
89,309.8113521368659,313.2013405042692,315.0684799949678,316.9955793806723,319.76167921810963
90,309.860063863981,313.0630816637826,315.06480559874103,316.9856701621418,319.72226411999867
91,310.11582323161963,313.0856719904979,315.127061185109,316.948002370153,319.7096827118051
92,309.86343649396963,313.01757460572225,315.1713238240119,317.0282190693568,319.88582777032786
93,309.83043604700316,312.99979608499285,315.2121273990165,317.03024973593443,319.62595363064105
94,309.70857549144705,313.0438290319438,315.14869514722307,317.1063601941131,319.59058568216284
95,309.8593820210504,313.0166421100196,315.1107444466488,317.1176537439306,319.63353764565613
96,309.67531344834515,312.9607048163793,315.0368328859129,317.1195955866783,319.95789281800035
97,309.4488021919621,313.0420315459883,314.93705968113704,317.0838259755563,320.3043752379986
98,309.4436347081827,312.97697602717017,315.0227287242965,317.06868198969516,320.12041766299745
99,309.56051728152397,313.04241108451777,314.95255381167914,317.1555666776811,320.2481321061261
100,309.4626828024201,313.166151909363,314.98474396818165,317.14524027108484,320.3659915055889
101,309.3490478595234,313.06087603054135,315.05838425718883,317.21735507467383,320.40542352665034
102,309.4477181784661,312.9423585920981,315.0674618421801,317.1510745775172,320.2577628478223
103,309.69354077786755,313.01953003399734,315.1079593672299,317.13475248650013,320.3168079066711
104,309.8421868534203,313.0247332721807,315.013495734287,317.0958932449812,320.45413294359474
105,309.9299380806471,312.99876496765006,314.9164429515805,317.2141890073013,320.4442205441866
106,309.7339429122464,312.95891728380514,314.88791648789606,317.2115230964996,320.40434115181006
107,309.8928084103449,313.09080307755454,314.95960631555727,317.08701960589815,320.46099092914375
108,309.79370612462463,313.0401676437725,315.04444732315653,317.0558161021591,320.5402624257497
109,309.7476113596004,312.99374912497507,314.9496173653463,317.07586767081193,320.3947340966968
110,309.7623094536704,313.08778020148907,315.0860485718513,317.11948768675495,320.28515622931275
111,309.50070225386173,312.96593844342226,314.95720070909675,317.15395426971133,320.26064091028064
