Date,JPM,V,MA,PYPL,XYZ,COIN,HOOD,AFRM
2020-10-15,88.48399353027344,191.7586669921875,328.06036376953125,202.05970764160156,188.60000610351562,,,
2020-10-16,88.30133819580078,192.44093322753906,328.8646545410156,203.36273193359375,186.35000610351562,,,
2020-10-19,86.81385040283203,189.27935791015625,321.3746032714844,198.99607849121094,186.9600067138672,,,
2020-10-20,87.3096694946289,189.98086547851562,321.42303466796875,200.885986328125,185.74000549316406,,,
2020-10-21,86.43978881835938,190.68234252929688,323.0702819824219,211.93690490722656,177.82000732421875,,,
2020-10-22,89.49308013916016,190.25955200195312,323.2446594238281,202.8455047607422,175.92999267578125,,,
2020-10-23,90.30205535888672,190.2787628173828,319.3785705566406,201.96022033691406,176.77000427246094,,,
2020-10-26,88.06645965576172,185.53164672851562,308.18701171875,196.1711883544922,169.88999938964844,,,
2020-10-27,86.40499877929688,182.63914489746094,307.2665100097656,199.36412048339844,171.02000427246094,,,
2020-10-28,83.9780502319336,173.80799865722656,282.33526611328125,191.28729248046875,167.1300048828125,,,
2020-10-29,84.52604675292969,177.65179443359375,284.0793762207031,194.0027618408203,169.86000061035156,,,
2020-10-30,85.28285217285156,174.6151885986328,279.6802978515625,185.14016723632812,154.8800048828125,,,
2020-11-02,87.2052993774414,177.52691650390625,280.9690246582031,186.76148986816406,155.22999572753906,,,
2020-11-03,89.95411682128906,180.986328125,286.22076416015625,178.853759765625,158.2100067138672,,,
2020-11-04,87.2052993774414,186.39651489257812,297.6642150878906,193.2567596435547,171.2899932861328,,,
2020-11-05,90.77178192138672,189.92320251464844,306.70458984375,203.47213745117188,175.22999572753906,,,
2020-11-06,89.56265258789062,190.72084045410156,303.90435791015625,201.65188598632812,198.0800018310547,,,
2020-11-09,101.68878173828125,204.3759765625,333.864501953125,183.73765563964844,184.0800018310547,,,
2020-11-10,101.35820770263672,204.98141479492188,324.3880615234375,182.38490295410156,172.0,,,
2020-11-11,99.8446044921875,204.39520263671875,322.0722351074219,191.31712341308594,183.4199981689453,,,
2020-11-12,98.61808013916016,200.4301300048828,318.0994567871094,188.09437561035156,178.50999450683594,,,
2020-11-13,99.23570251464844,202.566650390625,324.63037109375,187.61691284179688,177.19000244140625,,,
2020-11-16,102.03671264648438,204.70318603515625,325.03729248046875,190.9192657470703,179.16000366210938,,,
2020-11-17,101.00153350830078,202.78797912597656,326.0546875,191.27734375,187.89999389648438,,,
2020-11-18,100.25345611572266,200.01625061035156,325.51202392578125,189.1089324951172,185.5399932861328,,,
2020-11-19,100.52311706542969,199.76605224609375,323.5160827636719,189.88478088378906,191.66000366210938,,,
2020-11-20,99.66193389892578,196.21481323242188,312.9737548828125,191.64537048339844,195.97000122070312,,,
2020-11-23,102.53253173828125,200.33387756347656,321.733154296875,199.75205993652344,207.77999877929688,,,
2020-11-24,107.27337646484375,201.79672241210938,331.7618103027344,204.9044952392578,202.89999389648438,,,
2020-11-25,106.15122985839844,202.96121215820312,330.72503662109375,213.3195037841797,212.9199981689453,,,
2020-11-27,105.4466323852539,203.06712341308594,328.544921875,210.2658233642578,212.52000427246094,,,
2020-11-30,102.54122161865234,202.44155883789062,326.06439208984375,212.98130798339844,210.9600067138672,,,
2020-12-01,104.1592025756836,203.2595672607422,328.3608093261719,215.388427734375,203.0,,,
2020-12-02,106.15995025634766,202.27793884277344,329.6592102050781,211.42959594726562,202.0,,,
2020-12-03,105.46403503417969,200.22802734375,324.73687744140625,213.39907836914062,205.52999877929688,,,
2020-12-04,106.42088317871094,204.68392944335938,333.6610412597656,216.61190795898438,208.14999389648438,,,
2020-12-07,106.0207290649414,204.65504455566406,330.3761901855469,216.7710418701172,212.5800018310547,,,
2020-12-08,106.12513732910156,204.7705535888672,330.21148681640625,215.78631591796875,213.00999450683594,,,
2020-12-09,105.29875946044922,201.70050048828125,326.393798828125,209.67897033691406,207.0399932861328,,,
2020-12-10,104.6202392578125,199.80453491210938,321.229248046875,214.19482421875,217.25,,,
2020-12-11,104.00261688232422,198.48605346679688,317.2565612792969,212.92161560058594,216.58999633789062,,,
2020-12-14,102.90657806396484,199.45806884765625,320.8707580566406,219.61582946777344,215.86000061035156,,,
2020-12-15,104.66373443603516,200.5263214111328,323.2931213378906,220.42153930664062,219.99000549316406,,,
2020-12-16,104.96818542480469,200.43975830078125,321.7912902832031,228.97579956054688,227.0800018310547,,,
2020-12-17,104.09831237792969,203.2403106689453,326.4423522949219,234.25755310058594,230.74000549316406,,,
2020-12-18,103.58509826660156,203.365478515625,329.7657775878906,235.1925506591797,235.4499969482422,,,
2020-12-21,107.47345733642578,201.15188598632812,323.9908447265625,236.455810546875,233.5,,,
2020-12-22,105.83805847167969,198.10107421875,321.9268798828125,242.19512939453125,241.5800018310547,,,
2020-12-23,108.79566955566406,197.5813751220703,319.0102844238281,238.16665649414062,230.67999267578125,,,
2020-12-24,108.31722259521484,200.8535919189453,325.5702209472656,237.37091064453125,228.27999877929688,,,
2020-12-28,109.03053283691406,204.6358184814453,333.7773132324219,234.47637939453125,223.33999633789062,,,
2020-12-29,108.74346160888672,206.31036376953125,335.8993225097656,229.80137634277344,214.0,,,
2020-12-30,109.04792785644531,210.150390625,344.51336669921875,230.27882385253906,221.0399932861328,,,
2020-12-31,110.5354232788086,210.50645446777344,345.8602294921875,232.9545135498047,217.63999938964844,,,
2021-01-04,109.49156188964844,209.5729217529297,340.579345703125,230.6866455078125,221.16000366210938,,,
2021-01-05,110.08734893798828,206.4451446533203,336.6357421875,233.66075134277344,229.75,,,
2021-01-06,115.25658416748047,204.62615966796875,336.7616882324219,225.62371826171875,226.88999938964844,,,
2021-01-07,119.04151153564453,205.77145385742188,339.4296875,233.79005432128906,239.47999572753906,,,
2021-01-08,119.17292785644531,207.3498077392578,343.3006896972656,241.1706085205078,241.4499969482422,,,
2021-01-11,120.9515151977539,204.88607788085938,337.8192138671875,236.23696899414062,225.5,,,
2021-01-12,122.85276794433594,201.007568359375,332.69659423828125,236.376220703125,227.52000427246094,,,
2021-01-13,122.96663665771484,201.47914123535156,336.00494384765625,243.59762573242188,230.9199981689453,,,
2021-01-14,123.68505096435547,194.27073669433594,317.1833190917969,240.77272033691406,232.7899932861328,,,
2021-01-15,121.46844482421875,194.01084899902344,313.62274169921875,238.51478576660156,227.75,,,
2021-01-19,120.94274139404297,194.07826232910156,316.22283935546875,245.9351348876953,227.25999450683594,,,
2021-01-20,119.1291275024414,198.2646942138672,324.9254455566406,242.96102905273438,226.64999389648438,,,
2021-01-21,118.13031768798828,197.42739868164062,324.4694519042969,247.31771850585938,219.6199951171875,,,
2021-01-22,117.21915435791016,194.42466735839844,319.181884765625,250.6598663330078,222.8800048828125,,,
2021-01-25,115.75599670410156,193.42385864257812,319.37591552734375,246.43246459960938,216.63999938964844,,,
2021-01-26,115.28286743164062,194.4151153564453,317.9302978515625,239.71835327148438,209.1699981689453,,,
2021-01-27,112.02363586425781,187.63978576660156,306.0843505859375,228.71717834472656,202.4600067138672,,,
2021-01-28,113.99494171142578,190.76759338378906,314.6122741699219,236.52542114257812,219.91000366210938,,,
2021-01-29,112.7332763671875,185.98443603515625,306.86053466796875,233.06393432617188,215.9600067138672,,,
2021-02-01,113.56561279296875,190.90231323242188,311.9733581542969,240.56385803222656,221.94000244140625,,,
2021-02-02,117.06141662597656,194.99253845214844,324.4014587402344,247.77529907226562,227.6300048828125,,,
2021-02-03,118.40190887451172,193.78952026367188,322.89764404296875,250.56039428710938,227.94000244140625,,,
2021-02-04,121.12673950195312,201.38290405273438,330.66888427734375,268.9918518066406,237.72000122070312,,,
2021-02-05,120.89015197753906,200.92095947265625,328.6510009765625,268.00714111328125,240.3800048828125,,,
2021-02-08,122.78265380859375,199.1116180419922,326.9821472167969,280.66943359375,259.9700012207031,,,
2021-02-09,122.29198455810547,198.75555419921875,323.4991760253906,282.6886291503906,258.1199951171875,,,
2021-02-10,122.36214447021484,198.6785125732422,324.2462463378906,281.6740417480469,257.489990234375,,,
