Volatility_pct,Return_pct
20.168246502767925,13.849497268008973
19.984325502902728,14.459335579407051
19.81857672558357,15.069173890749871
19.671459523954272,15.67901220213308
19.543394662504305,16.288850513539867
19.434758784246192,16.898688824796647
19.34587919335094,17.508527135263925
19.27702915764519,18.1183654485448
19.228423842276083,18.728203761283474
19.200216992508366,19.338042070424454
19.19249854607968,19.947880381800694
19.212374362830246,20.55771869325709
19.267812443802978,21.167557004585404
19.35164094115972,21.777395315940527
19.450170972778867,22.387233627083226
19.562837875259746,22.99707193797236
19.689398975277815,23.606910250897485
19.82958822985132,24.21674856144503
19.98311882811688,24.826586872822194
20.14968580648501,25.43642518419596
20.328968723726295,26.046263495608617
20.521333690864914,26.656101806972703
20.72765590565499,27.265940118351583
20.947547328713604,27.875778428343136
21.180585344670902,28.48561674110574
21.4263410047489,29.095455052519515
21.68438191336887,29.70529336385158
21.954274888575114,30.315131675169138
22.235588357618667,30.924969986609955
22.527894489730848,31.534808297999973
22.830771069418642,32.1446466138619
23.14380309324377,32.75448492064332
23.466584169087962,33.36432323205282
23.798717619184362,33.974161543442264
24.139817416944286,34.58399985556386
24.48950890449242,35.19383816763852
24.847429331945786,35.80367647735076
25.213228262142863,36.41351478936783
25.586567788441585,37.02335310112368
25.967122668874943,37.63319140897659
26.35458034476584,38.24302972314826
26.748640850468703,38.85286803454184
27.149016673728205,39.46270634589988
27.555432534440254,40.07254465728845
27.967625118570172,40.68238296860937
28.38534277046028,41.292221280066926
28.808345152431926,41.90205959141649
29.238258383515415,42.511897902806275
29.681299876002104,43.1217362141926
30.13725509514541,43.731574525563516
30.605546888233796,44.341412837010175
31.085617724183912,44.95125114834226
31.576930369722035,45.56108945968439
32.078968299645624,46.1709277710592
32.591235878386264,46.78076608246933
33.11325834621861,47.3906043938467
33.6445816416207,48.00044270522145
34.184772087720674,48.61028101659391
34.73341596864306,49.22011932793557
35.290119018359604,49.82995763934417
35.85450583819726,50.43979594632244
36.426219284615286,51.049634261171605
37.0049197626945,51.659472573477785
37.59028459195979,52.26931088445371
38.182007247145194,52.87914919624082
38.77979670650641,53.488987504220844
39.38337671267595,54.09882581666451
39.99248508714302,54.708664130415855
40.60687304801125,55.318502441736314
41.226304556107976,55.92834075314194
41.850555662737726,56.53817906451856
42.479413886613955,57.14801736981103
43.11267763817395,57.757855687432915
43.7501555992776,58.367693998771074
44.39166622358475,58.97753230983127
45.03703718845371,59.587370622399916
45.68610489447786,60.1972089327979
46.33871400403828,60.80704724414009
46.99471697952943,61.41688555553883
47.653973661538636,62.026723866906885
